PDB code,Resolution,Clashscore,Rotamer outliers [%],Ramachandran outliers [%],RSRZ outliers [%],Year,Contains protein,R [%],R free [%],Deposition date,Journal,ISSN,Q1,Q1_min,Q1 percentile,Q1_min percentile
1hya,3.0,0.0,,,0.14491618815639384,1977.0,False,21.680102862644176,27.180336136410173,1977-11-20,J MOL BIOL,0022-2836,0.5293625164454013,0.22640832436311445,0.5364190886257625,0.4888769285970578
4tna,2.5,6.36,,,0.7264714086284201,1978.0,False,20.584758780488826,25.704618189630853,1978-04-12,J MOL BIOL,0022-2836,0.43373998325559143,0.36167922497308935,0.3645496950125583,0.6777897380696088
6tna,2.7,48.89,,,2.41368695780141,1978.0,False,23.65071376591331,29.55142928213534,1978-11-16,J MOL BIOL,0022-2836,0.12737710800143523,0.041263006817366346,0.030498744169357734,0.10997488338715465
1bna,1.9,5.28,,,0.0,1981.0,False,18.542843146767396,23.058168670296336,1981-01-26,PNAS,0027-8424,0.6521947135510106,0.5873699318263366,0.767491926803014,0.8484033010405454
1zna,1.5,56.0,,,3.48290311829858,1981.0,False,20.549278386715088,25.397837023547687,1981-01-26,J MOL BIOL,0022-2836,0.20535821074034208,0.031933979189092215,0.07786149982059562,0.0862935055615357
2bna,2.7,10.55,,,0.8839394439832375,1981.0,False,21.429246209966244,26.668376781401566,1981-11-12,PNAS,0027-8424,0.3448152134912092,0.26982418371008254,0.21977036239684247,0.5498744169357732
4bna,2.3,10.55,,,0.0,1982.0,False,20.042010499555943,24.940818834687658,1982-02-16,J BIOL CHEM,0021-9258,0.5114220786987201,0.3720846788661643,0.5044851094366702,0.6923214926444206
3bna,3.0,9.23,,,0.0,1982.0,False,22.134390359773498,27.60102670249151,1982-02-16,J BIOL CHEM,0021-9258,0.44049754814017456,0.18945102260495156,0.3756727664155005,0.426264800861141
1ana,2.0,4.03,,,1.0330272080917666,1982.0,False,18.995460517457445,23.49691779346383,1982-06-04,J MOL BIOL,0022-2836,0.5490969979667505,0.3803372802296376,0.5809113742375314,0.7021887334050951
5bna,2.6,41.56,,,2.3143724320956593,1983.0,False,22.95023144438511,28.46976717720735,1983-08-22,EMBO J,0261-4189,0.1517761033369214,0.05597416576964478,0.04305705059203445,0.1458557588805167
