Rank,Journal,Q1(t) percentile,A-mean resolution,G-mean resolution,V-mean resolution,Structure count
1,TUBERCULOSIS (EDINB)*,84.80325467917046,2.020318181818181,1.9954281238056129,1.9870311921194095,132
2,CHEMISTRY*,72.33899683585744,1.8204297970936365,1.7655529356167432,1.7476760903570387,242
3,CHEM COMMUN*,71.87737158839997,1.8050000065368579,1.7457717241525335,1.7268950469957207,280
4,CHEMBIOCHEM*,71.83920823077199,1.920974193548387,1.8669852917704612,1.8491460737005312,527
5,ACS INFECT DIS*,71.69064537515814,1.9468954248366017,1.9040055874644006,1.8898696146234655,153
6,EUR J MED CHEM*,71.39110297955395,2.0278038299282533,1.9721152448891577,1.9534956702810222,418
7,ACS CATAL*,71.33335677266366,1.936618299736225,1.8756950659901532,1.8554330468194749,241
8,ORG BIOMOL CHEM*,71.21272388083514,1.882623952095808,1.8241941676105142,1.8043772597748016,167
9,J INORG BIOCHEM*,71.10687437407918,1.7844380116959073,1.7282834315797668,1.7097180058979353,171
10,IUCRJ*,70.61597644763474,1.9531017793594299,1.8824325135630686,1.8595501345105792,281
11,J SYNCHROTRON RADIAT*,70.2385665200474,1.789911564625848,1.7299998117058015,1.710464807966735,147
12,ACS OMEGA*,69.76948872482252,1.8066372549019607,1.7660465900160047,1.7522294777661098,102
13,J BIOL INORG CHEM*,68.04364304880515,1.8840876139683393,1.821752577201187,1.8011127708190915,265
14,CHEM SCI*,67.78332669426173,1.8747019365477993,1.8250185683647666,1.8084958185355662,268
15,J COMPUT AIDED MOL DES,67.56567522370447,1.8818173913043477,1.8556025841906836,1.8464978360996058,115
16,NAT CHEM*,67.44725982210258,1.9451560693641596,1.8482010535569153,1.8214438574435339,173
17,ANGEW CHEM*,67.4470101800013,1.9172186854460067,1.8484972904704644,1.825378887860003,1065
18,FEBS J*,66.24143175791143,2.022789380283403,1.9698009601795816,1.9521978993123612,1539
19,APPL ENVIRON MICROBIOL,65.99310715539174,2.00816875,1.9627934838828673,1.9478657760549138,112
20,ANTIMICROB AGENTS CHEMOTHER*,65.63900396256018,1.9555546925566334,1.8760568784100398,1.8496982056319347,309
21,ARCH BIOCHEM BIOPHYS*,65.32600556866652,2.079391307063188,2.032895093914664,2.01717627081636,276
22,GLYCOBIOLOGY,65.12264970526614,1.9573670212765952,1.8978427403054388,1.8786847896687302,188
23,ACS CHEM BIOL*,64.69400580608773,2.0379855177311694,1.9841030478586075,1.9662439762818122,1104
24,CHEMMEDCHEM*,64.6492422709532,1.9431031408754138,1.8823986261691041,1.8617182215286485,556
25,BIOCHEM J*,64.31599455008234,2.110534370185326,2.055752630432588,2.0375962067268185,1033
26,INT J MOL SCI,63.82975256432637,2.115212636050583,2.0355113367313895,2.009347303667458,103
27,ACTA CRYST F*,63.70924595385603,2.0874963923216976,2.0150906655337995,1.9915393499255978,1466
28,ACTA CRYST D*,63.60014934860789,1.9859256614583185,1.9105752765307304,1.8859886906097176,4952
29,J AM CHEM SOC*,63.36603079888178,2.000311740423091,1.9347855899581647,1.9129337691462578,2369
30,PROTEIN ENG DES SEL,63.04108874398886,2.0513530612244892,2.0007882709638487,1.9839309123829734,294
31,TO BE PUBLISHED*,62.74404472177394,2.0331372154062395,1.9764523344000984,1.9576682185116692,22421
32,BIOPHYS J,62.488829060057824,1.915994974874371,1.8541708411402291,1.8332187035463783,199
33,MBIO,62.041201176185965,2.2386763327531365,2.1541234142103898,2.1261838745678623,169
34,SCI REP*,61.273064039480616,2.1577250420572343,2.0874733366703686,2.0643995537604147,1847
35,NAT CHEM BIOL,61.11630381995239,2.1875664749916175,2.11923963132319,2.096565164416633,1013
36,FEBS LETT,61.09127361698431,2.101564219983207,2.037790027899831,2.0165376314892915,814
37,BIOCHEMISTRY*,60.67164888676909,2.052668690214357,2.0003416213826597,1.9829066120906609,8896
38,PLOS PATHOG,60.6609901530769,2.2475538122338268,2.1719659776640325,2.1474604317703774,656
39,CELL CHEM BIOL,60.509068344862335,2.0774997033444578,2.027714149750333,2.011407874074005,902
40,J BIOCHEM,60.290502930325005,2.054806451612903,2.012383212351153,1.9982254389568777,279
41,PLOS ONE,60.04274001534369,2.149214018689612,2.08896518686711,2.0693085138344482,2057
42,NAT COMMUN*,60.04246487841911,2.213350580190543,2.1119495607402476,2.0804797326069675,3538
43,FASEB J,60.00784633656645,2.028562732919255,1.981140723573023,1.9662067581555227,161
44,BMC STRUCT BIOL,59.68189138960043,2.0817578947368403,2.024737254717196,2.005193097772517,228
45,BIOCHIMIE,59.57069300949335,2.0705078125000003,2.015144256416314,1.9953199325172781,128
46,PROTEIN SCI,59.563019044890865,2.0732581655481015,2.0182799991862486,2.000171459918636,2235
47,ACS MED CHEM LETT,59.405976625645074,2.124244699402845,2.0637596953312625,2.0431992799215,1062
48,J MED CHEM,58.67170965552827,2.0717486941325105,2.0202849053684613,2.0029019856818366,5525
49,BIOCHIM BIOPHYS ACTA,58.14286710674415,2.0917044999999987,2.035747665316125,2.0171307783558574,600
50,PROTEINS,57.962755944018795,2.067916434916491,2.0143483668748643,1.996256397992479,1999
51,BIOORG MED CHEM,57.86416654822998,2.098657814871017,2.042484519066912,2.023977604826355,659
52,MOL MICROBIOL,57.66072922317026,2.163016019417473,2.087800283216776,2.0634247581341727,412
53,J BIOL CHEM,57.40036448943354,2.1220707990445855,2.062772692846283,2.043307195063953,11055
54,NAT MICROBIOL,56.87477181945076,2.322225225225225,2.2507449651466684,2.227071162036083,111
55,J STRUCT BIOL,56.57804396067374,2.1502692130085963,2.082338537608425,2.0609841408635514,1038
56,INT J BIOL MACROMOL,56.479373113095974,2.05264880952381,1.997948651011543,1.9788574873355653,168
57,J STRUCT FUNCT GENOM,55.68860822433168,2.0662321428571433,2.030922959387011,2.019145933147284,168
58,STRUCTURE*,55.52900132827542,2.197485930312627,2.1113177364440925,2.0830169791099293,5348
59,J MOL BIOL*,55.2226083987991,2.125248195784678,2.0631320743092476,2.0429203009639143,9507
60,VIROLOGY,54.61703777440952,2.4350555555555555,2.3712950196019844,2.349954705105851,126
61,BIOCHEM BIOPHYS RES COMMUN,54.284668977334846,2.175412721817355,2.1096861127038427,2.088372023164606,976
62,MABS,54.13364332530966,2.3452434782608695,2.292203550875508,2.2748049327821396,115
63,PLANT CELL,53.64353531240271,2.2128985507246375,2.171673679486286,2.1578224058811757,138
64,J BACTERIOL,53.62160600868735,2.2179866939505377,2.1619816561767133,2.1438175404715123,371
65,NUCLEIC ACIDS RES*,53.305636998852535,2.2820356616953683,2.2065210046818216,2.181283845076902,2127
66,CELL HOST MICROBE,53.09839592869716,2.496345794392523,2.4277301169683576,2.404115658091368,107
67,J VIROL*,52.21598513054813,2.3439864681295743,2.264519278774781,2.2395308345137606,957
