Rank,Journal,Q1(td) percentile,A-mean resolution,G-mean resolution,V-mean resolution,Structure count
1,J BIOL INORG CHEM,59.655138884017354,1.9140350877192986,1.847459344517213,1.8252304391190943,114
2,FEBS J*,59.59230827844242,2.1022415730337087,2.0503587720586687,2.032804454491782,356
3,PROTEIN ENG DES SEL,57.80438238092193,2.120699421965318,2.0849630787599525,2.0729694480274516,173
4,ACTA CRYST D*,56.30883243145565,1.9954597961494935,1.9196569602755054,1.894967994872515,1766
5,BIOCHEM J,56.26903967303928,2.069630303030303,2.0194115149506433,2.0024898875401864,165
6,FEBS LETT,56.19458015593787,2.117112068965516,2.0598871797097846,2.0401882013505013,232
7,CELL CHEM BIOL,55.87070263665376,2.062686274509805,2.0115941053175117,1.9949055106013072,204
8,PROTEIN SCI*,55.43350830725154,2.051199275362316,2.008550101246711,1.9942159379886293,1104
9,BIOCHEMISTRY*,55.39936420939515,2.094674627519726,2.047292461442752,2.0312749623388187,4564
10,J MOL BIOL*,54.215287167318195,2.10553192650537,2.047917426982075,2.0289933535365976,5497
11,BIOPHYS J,53.90682667883843,1.7930421052631582,1.7317450561126,1.7107684597909458,95
12,PROTEINS,53.82939544266539,2.07881973816717,2.029066405643633,2.0125057364878343,993
13,J AM CHEM SOC,52.969122586598985,1.9080392156862758,1.8535365798081092,1.834978393434141,459
14,BIOCHEM BIOPHYS RES COMMUN,52.24596935765947,2.1601796407185634,2.0995948032412466,2.0797347165473536,167
15,NUCLEIC ACIDS RES,51.73102368862402,2.1882986111111093,2.1199632450257773,2.096364324227948,288
16,J BACTERIOL,51.14379333302117,2.3102624113475176,2.240241144737622,2.2178108793183133,141
17,BIOORG MED CHEM,50.810885829256215,2.090847457627118,2.0326800305080077,2.013199722967639,59
18,J BIOL CHEM,50.80993330682415,2.1066171149144357,2.0579875000163006,2.0416857501675763,4090
19,J STRUCT BIOL,50.72217818308849,2.2694017094017087,2.209728922321702,2.1897180479216387,117
20,J MED CHEM,50.69002646313593,2.138880991735538,2.0971036141987933,2.08258595285895,605
21,STRUCTURE,48.948348132986894,2.169356470004963,2.112835868315325,2.09416511233438,2017
22,PNAS*,47.50303357556162,2.2129086460032634,2.1395034916739784,2.1157669790335714,1839
23,J VIROL,46.85047284151472,2.4030851063829797,2.305321673042294,2.2780085252348625,141
24,SCIENCE*,45.197575118288206,2.424141853932584,2.3451687584403613,2.3197034484455608,712
25,EMBO J*,43.08313684637204,2.290628193832597,2.235270670771301,2.2168500174993575,1135
26,NAT STRUCT MOL BIOL*,42.783692343168624,2.248877794336808,2.19181462405877,2.1736057946369,1342
27,NATURE*,42.60866524663564,2.412300204918031,2.330647196370286,2.304809274591112,976
28,BIOORG MED CHEM LETT*,38.87458337264976,2.199526315789473,2.164293421436435,2.1528817269361555,323
29,CELL*,38.34373111892509,2.4836166924265846,2.4049749015230484,2.3804125399647535,647
30,MOL CELL*,37.47843780341885,2.3582994746059516,2.2980589330501537,2.27791410994254,571
